        Rank         Score    Variable
        1.00     1.16784E+01  degree_spondylolisthesis
        2.00     5.90439E+00  pelvic_radius
        3.00     3.62641E+00  pelvic_tilt
        4.00     3.46216E+00  pelvic_incidence
        5.00     3.30848E+00  lumbar_lordosis_angle
        6.00     2.83472E+00  sacral_slope
        7.00     1.91462E+00  X874
        8.00     1.60114E+00  X267
        9.00     1.56523E+00  X469
       10.00     1.46361E+00  X576
       11.00     1.45712E+00  X604
       12.00     1.39643E+00  X819
       13.00     1.35599E+00  X57
       14.00     1.29007E+00  X765
       15.00     1.28436E+00  X662
       16.00     1.27499E+00  X529
       17.00     1.25243E+00  X470
       18.00     1.22702E+00  X989
       19.00     1.21965E+00  X277
       20.00     1.20092E+00  X991
       21.00     1.18203E+00  X853
       22.00     1.17635E+00  X842
       23.00     1.16134E+00  X300
       24.00     1.13547E+00  X314
       25.00     1.13376E+00  X221
       26.00     1.12879E+00  X279
       27.00     1.12705E+00  X516
       28.00     1.11536E+00  X670
       29.00     1.10824E+00  X21
       30.00     1.09556E+00  X809
       31.00     1.08375E+00  X860
       32.00     1.08236E+00  X312
       33.00     1.06436E+00  X775
       34.00     1.05874E+00  X609
       35.00     1.05809E+00  X249
       36.00     1.04752E+00  X140
       37.00     1.04320E+00  X164
       38.00     1.02060E+00  X141
       39.00     1.01279E+00  X627
       40.00     9.88568E-01  X733
       41.00     9.70903E-01  X344
       42.00     9.70733E-01  X851
       43.00     9.58315E-01  X393
       44.00     9.57176E-01  X722
       45.00     9.51814E-01  X885
       46.00     9.39235E-01  X729
       47.00     9.25044E-01  X223
       48.00     9.24388E-01  X503
       49.00     9.20728E-01  X416
       50.00     9.04319E-01  X683
       51.00     8.91660E-01  X513
       52.00     8.90416E-01  X17
       53.00     8.83894E-01  X322
       54.00     8.81974E-01  X575
       55.00     8.75991E-01  X526
       56.00     8.75642E-01  X700
       57.00     8.75215E-01  X15
       58.00     8.74539E-01  X558
       59.00     8.70086E-01  X612
       60.00     8.69041E-01  X996
       61.00     8.60204E-01  X171
       62.00     8.55829E-01  X160
       63.00     8.54989E-01  X162
       64.00     8.51701E-01  X341
       65.00     8.46429E-01  X931
       66.00     8.43114E-01  X359
       67.00     8.42401E-01  X563
       68.00     8.40699E-01  X86
       69.00     8.35696E-01  X724
       70.00     8.32095E-01  X674
       71.00     8.27841E-01  X509
       72.00     8.23781E-01  X342
       73.00     8.19556E-01  X373
       74.00     8.17654E-01  X310
       75.00     8.16113E-01  X292
       76.00     8.15581E-01  X988
       77.00     8.15567E-01  X108
