"","TrueNeg","FalseNeg","FalsePos","TruePos","Cutoff","sensitivity","specificity","FalsePosRate","PctCorrect"
"",168,80,0,0,Inf,0,1,0,0.67741935483871
"258",168,79,0,1,0.998374975713904,0.0125,1,0,0.681451612903226
"305",168,78,0,2,0.992587387621202,0.025,1,0,0.685483870967742
"253",168,77,0,3,0.991792628204452,0.0375,1,0,0.689516129032258
"252",168,76,0,4,0.980322590995383,0.05,1,0,0.693548387096774
"222",168,75,0,5,0.979468161720322,0.0625,1,0,0.69758064516129
"251",168,74,0,6,0.965304815073686,0.075,1,0,0.701612903225806
"227",168,73,0,7,0.963642790522729,0.0875,1,0,0.705645161290323
"279",168,72,0,8,0.957896928084351,0.1,1,0,0.709677419354839
"278",168,71,0,9,0.955299259276414,0.1125,1,0,0.713709677419355
"226",168,70,0,10,0.955062737051748,0.125,1,0,0.717741935483871
"230",168,69,0,11,0.947272820924632,0.1375,1,0,0.721774193548387
"238",168,68,0,12,0.938318265840555,0.15,1,0,0.725806451612903
"265",168,67,0,13,0.936638000713569,0.1625,1,0,0.729838709677419
"295",168,66,0,14,0.934700561273617,0.175,1,0,0.733870967741935
"215",168,65,0,15,0.930879592225314,0.1875,1,0,0.737903225806452
"296",168,64,0,16,0.926125118561024,0.2,1,0,0.741935483870968
"234",168,63,0,17,0.921702400955255,0.2125,1,0,0.745967741935484
"304",168,62,0,18,0.921369072649331,0.225,1,0,0.75
"236",168,61,0,19,0.909393853261149,0.2375,1,0,0.754032258064516
"261",168,60,0,20,0.902056011139741,0.25,1,0,0.758064516129032
"246",168,59,0,21,0.900186069588297,0.2625,1,0,0.762096774193548
"243",168,58,0,22,0.89756972795636,0.275,1,0,0.766129032258065
"237",168,57,0,23,0.89167169196954,0.2875,1,0,0.770161290322581
"244",168,56,0,24,0.889186989753867,0.3,1,0,0.774193548387097
"225",168,55,0,25,0.886486736899612,0.3125,1,0,0.778225806451613
"45",167,55,1,25,0.883499207979432,0.3125,0.994047619047619,0.00595238095238093,0.774193548387097
"293",167,54,1,26,0.877870169074635,0.325,0.994047619047619,0.00595238095238093,0.778225806451613
"268",167,53,1,27,0.862224887590659,0.3375,0.994047619047619,0.00595238095238093,0.782258064516129
"217",167,52,1,28,0.85597540475693,0.35,0.994047619047619,0.00595238095238093,0.786290322580645
"290",167,51,1,29,0.854483871783264,0.3625,0.994047619047619,0.00595238095238093,0.790322580645161
